PERCENT_WAITING_OVER_THIRTY_MINUTES,CND_POLL_UUID,NAME,STATE,COUNTY_NAME,SLATED_FOR_CLOSURE_IN_GA
29.8246,16d8d2d5b3baed897fe69ffec1df2508,WASHINGTON COUNTY BOARD OF ELECTIONS AND REGISTRATION,GA,WASHINGTON,False
100.0,d9a1753b7c7cf2b25407e1c3e101fd9b,AA - WELCOME ALL PARK RECREATION CENTER,GA,FULTON,False
55.4849,7d418bf8e4518f131ebb880ffe9a5111,MURRAY COUNTY RECREATION CENTER,GA,MURRAY,False
58.1395,1d7cde6058c7783a14a62912ebe77a0d,AA - H.J.C. BOWDEN SENIOR MULTI-PURPOSE FACILITY,GA,FULTON,False
29.5349,d18a3449bda5994697209bc61721441d,FORTSON LIBRARY,GA,HENRY,False
44.62600000000001,7e7a2e386af9e41a151b0a2b6b1de4ac,CARTERSVILLE CIVIC CENTER,GA,BARTOW,False
49.7024,b475c34cce8e3a13804c9de531dd6c76,ADVANCED/EARLY VOTING,GA,GORDON,False
22.2222,b14853121a25f1db7d642d49d210d1dc,COURTHOUSE,GA,STEWART,False
37.5394,2b734fee145418e32865e6309f66b60c,WORTH COUNTY VOTER REGISTRATION OFFICE,GA,WORTH,False
63.77510000000001,7231c00468d38f8f590165429025fe0f,BOGAN PARK COMMUNITY RECREATION CENTER,GA,GWINNETT,False
8.4592,2b03a6ac03683b9232dc5f40a0bd2c07,AA - NORTH/EAST SPRUILL OAKS LIBRARY,GA,FULTON,False
3.6424,e273cbde2c6f51a44b20a4bda9475ffb,J. P. MOSELEY PARK,GA,HENRY,False
38.8889,2843ab76c8da200b41e9f0feacda32d6,MURRAYVILLE LIBRARY,GA,HALL,True
15.9251,8a6ffa8ca7d2a5d1f8f382a26f7d5c99,THE FORMER EUCHEE CREEK LIBRARY,GA,COLUMBIA,False
39.9457,d4d54ef6ad6a129b586ef9e7cde9cf3f,CITY OF GAINESVILLE DOWNTOWN BUILDING,GA,HALL,False
46.3303,a6f2802ecb3ad2f66b58a1a8e0c197ae,AA - EAST ROSWELL LIBRARY,GA,FULTON,False
48.9286,997a49c7dfe21daf4075965c5c320d76,BOARD OF ELECTIONS AND REGISTRATION,GA,WARE,False
